ids,labels,parents,color,accession_ID,class_label,type
M1,M1,,white,,,
M1-GABAergic,GABAergic,M1,#F05A28,CS201912132_116,RNAseq 01-52,class
M1-Glutamatergic,Glutamatergic,M1,#00ADEE,CS201912132_117,RNAseq 53-76,class
M1-Non-Neuronal,Non-Neuronal,M1,#808080,CS201912132_118,RNAseq 77-84,class
M1-Non-Neural,Non-Neural,M1,#6C7557,CS201912132_115,RNAseq 85-94,class
M1-GABAergic-Lamp5,Lamp5,M1-GABAergic,#DA808C,CS201912132_95,RNAseq 02-07,subclass
M1-GABAergic-Sncg,Sncg,M1-GABAergic,#D633FF,CS201912132_96,RNAseq 08-14,subclass
M1-GABAergic-Vip,Vip,M1-GABAergic,#B864CC,CS201912132_97,RNAseq 15-25,subclass
M1-GABAergic-Sst Chodl,Sst Chodl,M1-GABAergic,#FFEA00,CS201912132_1,RNAseq 01,subclass
M1-GABAergic-Sst,Sst,M1-GABAergic,#FF9900,CS201912132_98,"RNAseq 27-40, 47",subclass
M1-GABAergic-Pvalb,Pvalb,M1-GABAergic,#D93137,CS201912132_99,"RNAseq 41-46, 48-52",subclass
M1-Glutamatergic-L2/3 IT,L2/3 IT,M1-Glutamatergic,#C4EC04,CS201912132_100,RNAseq 53-56,subclass
M1-Glutamatergic-L5 IT,L5 IT,M1-Glutamatergic,#50B2AD,CS201912132_101,"RNAseq 57-58, 61-68",subclass
M1-Glutamatergic-L6 IT,L6 IT,M1-Glutamatergic,#A19922,CS201912132_102,RNAseq 59-60,subclass
M1-Glutamatergic-L6 IT Car3,L6 IT Car3,M1-Glutamatergic,#5100FF,CS201912132_76,RNAseq 75,subclass
M1-Glutamatergic-L5 ET,L5 ET,M1-Glutamatergic,#0D5B78,CS201912132_103,RNAseq 69-71,subclass
M1-Glutamatergic-L5/6 NP,L5/6 NP,M1-Glutamatergic,#3E9E64,CS201912132_77,RNAseq 76,subclass
M1-Glutamatergic-L6 CT,L6 CT,M1-Glutamatergic,#2D8CB8,CS201912132_104,RNAseq 72-73,subclass
M1-Glutamatergic-L6b,L6b,M1-Glutamatergic,#53377D,CS201912132_75,RNAseq 74,subclass
M1-GABAergic-Meis2,Meis2,M1-GABAergic,#FF0000,CS201912132_26,RNAseq 26,subclass
M1-Non-Neuronal-Astro,Astro,M1-Non-Neuronal,#665C47,CS201912132_106,RNAseq 79-82,subclass
M1-Non-Neuronal-Oligo,Oligo,M1-Non-Neuronal,#2E3E39,CS201912132_105,"RNAseq 77, 83-84",subclass
M1-Non-Neuronal-OPC,OPC,M1-Non-Neuronal,#486159,CS201912132_78,RNAseq 78,subclass
M1-Non-Neural-Endo,Endo,M1-Non-Neural,#8D6C62,CS201912132_107,RNAseq 85-87,subclass
M1-Non-Neural-VLMC,VLMC,M1-Non-Neural,#697255,CS201912132_109,RNAseq 90-93,subclass
M1-Non-Neural-Peri,Peri,M1-Non-Neural,#665547,CS201912132_108,RNAseq 88-89,subclass
M1-Non-Neural-Micro-PVM,Micro-PVM,M1-Non-Neural,#94AF97,CS201912132_94,RNAseq 94,subclass
M1-GABAergic-Lamp5-Inh LAMP5 COL5A2,Inh LAMP5 COL5A2,M1-GABAergic-Lamp5,#bf5474,CS201912132_2,RNAseq 02,type
M1-GABAergic-Lamp5-Inh LAMP5 TOX2,Inh LAMP5 TOX2,M1-GABAergic-Lamp5,#a75052,CS201912132_3,RNAseq 03,type
M1-GABAergic-Lamp5-Inh LAMP5 TRPC6,Inh LAMP5 TRPC6,M1-GABAergic-Lamp5,#ffa0a8,CS201912132_4,RNAseq 04,type
M1-GABAergic-Lamp5-Inh LAMP5 WWP1,Inh LAMP5 WWP1,M1-GABAergic-Lamp5,#aa6d6c,CS201912132_5,RNAseq 05,type
M1-GABAergic-Lamp5-Inh LAMP5 LOC108591196,Inh LAMP5 LOC108591196,M1-GABAergic-Lamp5,#e2a9af,CS201912132_6,RNAseq 06,type
M1-GABAergic-Lamp5-Inh PAX6 HMBOX1,Inh PAX6 HMBOX1,M1-GABAergic-Lamp5,#f1757c,CS201912132_7,RNAseq 07,type
M1-GABAergic-Sncg-Inh SNCG PLPPR1,Inh SNCG PLPPR1,M1-GABAergic-Sncg,#8d4cda,CS201912132_8,RNAseq 08,type
M1-GABAergic-Sncg-Inh PAX6 ANKRD6,Inh PAX6 ANKRD6,M1-GABAergic-Sncg,#c200c9,CS201912132_9,RNAseq 09,type
M1-GABAergic-Sncg-Inh VIP CYP19A1,Inh VIP CYP19A1,M1-GABAergic-Sncg,#a11397,CS201912132_10,RNAseq 10,type
M1-GABAergic-Sncg-Inh SNCG CNTN4,Inh SNCG CNTN4,M1-GABAergic-Sncg,#e557d7,CS201912132_11,RNAseq 11,type
M1-GABAergic-Sncg-Inh PAX6 CDH4,Inh PAX6 CDH4,M1-GABAergic-Sncg,#9046ba,CS201912132_12,RNAseq 12,type
M1-GABAergic-Sncg-Inh GAD1 PCP4,Inh GAD1 PCP4,M1-GABAergic-Sncg,#b67af7,CS201912132_13,RNAseq 13,type
M1-GABAergic-Sncg-Inh GAD1 LOC108589948,Inh GAD1 LOC108589948,M1-GABAergic-Sncg,#881fa8,CS201912132_14,RNAseq 14,type
M1-GABAergic-Vip-Inh VIP THSD7B,Inh VIP THSD7B,M1-GABAergic-Vip,#e591ff,CS201912132_15,RNAseq 15,type
M1-GABAergic-Vip-Inh VIP LOC100397259,Inh VIP LOC100397259,M1-GABAergic-Vip,#9047cc,CS201912132_16,RNAseq 16,type
M1-GABAergic-Vip-Inh GAD1 NPSR1,Inh GAD1 NPSR1,M1-GABAergic-Vip,#d597ff,CS201912132_17,RNAseq 17,type
M1-GABAergic-Vip-Inh SNCG LOC108587895,Inh SNCG LOC108587895,M1-GABAergic-Vip,#a20798,CS201912132_18,RNAseq 18,type
M1-GABAergic-Vip-Inh VIP LOC108589153,Inh VIP LOC108589153,M1-GABAergic-Vip,#7a3990,CS201912132_19,RNAseq 19,type
M1-GABAergic-Vip-Inh VIP FIGN,Inh VIP FIGN,M1-GABAergic-Vip,#8e27ad,CS201912132_20,RNAseq 20,type
M1-GABAergic-Vip-Inh VIP GPR149,Inh VIP GPR149,M1-GABAergic-Vip,#ee8be1,CS201912132_21,RNAseq 21,type
