ids,labels,parents,color,accession_ID,class_label,type
M1,M1,,white,,,
M1-GABAergic,GABAergic,M1,#F05A28,CS201912131_149,RNAseq 001-072,class
M1-Glutamatergic,Glutamatergic,M1,#00ADEE,CS201912131_150,RNAseq 073-116,class
M1-Non-Neuronal,Non-Neuronal,M1,#808080,CS201912131_151,RNAseq 117-124,class
M1-Non-Neural,Non-Neural,M1,#6C7557,CS201912131_148,RNAseq 125-127,class
M1-GABAergic-Lamp5,Lamp5,M1-GABAergic,#DA808C,CS201912131_128,"RNAseq 001-008, 014-015",subclass
M1-GABAergic-Sncg,Sncg,M1-GABAergic,#D633FF,CS201912131_129,"RNAseq 009-013, 016-018",subclass
M1-GABAergic-Vip,Vip,M1-GABAergic,#B864CC,CS201912131_130,RNAseq 019-039,subclass
M1-GABAergic-Sst Chodl,Sst Chodl,M1-GABAergic,#FFEA00,CS201912131_40,RNAseq 040,subclass
M1-GABAergic-Sst,Sst,M1-GABAergic,#FF9900,CS201912131_131,RNAseq 041-058,subclass
M1-GABAergic-Pvalb,Pvalb,M1-GABAergic,#D93137,CS201912131_132,RNAseq 059-072,subclass
M1-Glutamatergic-L2/3 IT,L2/3 IT,M1-Glutamatergic,#C4EC04,CS201912131_133,RNAseq 073-080,subclass
M1-Glutamatergic-L5 IT,L5 IT,M1-Glutamatergic,#50B2AD,CS201912131_134,RNAseq 081-092,subclass
M1-Glutamatergic-L6 IT,L6 IT,M1-Glutamatergic,#A19922,CS201912131_135,RNAseq 093-095,subclass
M1-Glutamatergic-L6 IT Car3,L6 IT Car3,M1-Glutamatergic,#5100FF,CS201912131_97,RNAseq 096,subclass
M1-Glutamatergic-L5 ET,L5 ET,M1-Glutamatergic,#0D5B78,CS201912131_138,RNAseq 109-111,subclass
M1-Glutamatergic-L5/6 NP,L5/6 NP,M1-Glutamatergic,#3E9E64,CS201912131_139,RNAseq 112-116,subclass
M1-Glutamatergic-L6 CT,L6 CT,M1-Glutamatergic,#2D8CB8,CS201912131_136,RNAseq 097-102,subclass
M1-Glutamatergic-L6b,L6b,M1-Glutamatergic,#53377D,CS201912131_137,RNAseq 103-108,subclass
M1-Non-Neuronal-Astro,Astro,M1-Non-Neuronal,#665C47,CS201912131_142,RNAseq 122-124,subclass
M1-Non-Neuronal-Oligo,Oligo,M1-Non-Neuronal,#2E3E39,CS201912131_140,"RNAseq 117, 119-121",subclass
M1-Non-Neuronal-OPC,OPC,M1-Non-Neuronal,#486159,CS201912131_118,RNAseq 118,subclass
M1-Non-Neural-Endo,Endo,M1-Non-Neural,#8D6C62,CS201912131_125,RNAseq 125,subclass
M1-Non-Neural-VLMC,VLMC,M1-Non-Neural,#697255,CS201912131_126,RNAseq 126,subclass
M1-Non-Neural-Micro-PVM,Micro-PVM,M1-Non-Neural,#94AF97,CS201912131_127,RNAseq 127,subclass
M1-GABAergic-Lamp5-Inh L1 LAMP5 PVRL2,Inh L1 LAMP5 PVRL2,M1-GABAergic-Lamp5,#ad474f,CS201912131_1,RNAseq 001,type
M1-GABAergic-Lamp5-Inh L1 LAMP5 RAB11FIP1,Inh L1 LAMP5 RAB11FIP1,M1-GABAergic-Lamp5,#ffa0a7,CS201912131_2,RNAseq 002,type
M1-GABAergic-Lamp5-Inh L1-6 LAMP5 AARD,Inh L1-6 LAMP5 AARD,M1-GABAergic-Lamp5,#ff8aa8,CS201912131_3,RNAseq 003,type
M1-GABAergic-Lamp5-Inh L1-6 LAMP5 NES,Inh L1-6 LAMP5 NES,M1-GABAergic-Lamp5,#e96f73,CS201912131_4,RNAseq 004,type
M1-GABAergic-Lamp5-Inh L1-6 LAMP5 CA1,Inh L1-6 LAMP5 CA1,M1-GABAergic-Lamp5,#a76b6a,CS201912131_5,RNAseq 005,type
M1-GABAergic-Lamp5-Inh L5-6 LAMP5 CRABP1,Inh L5-6 LAMP5 CRABP1,M1-GABAergic-Lamp5,#bf7e7d,CS201912131_6,RNAseq 006,type
M1-GABAergic-Lamp5-Inh L3-6 PAX6 LINC01497,Inh L3-6 PAX6 LINC01497,M1-GABAergic-Lamp5,#e09a99,CS201912131_7,RNAseq 007,type
M1-GABAergic-Lamp5-Inh L1 PAX6 MIR101-1,Inh L1 PAX6 MIR101-1,M1-GABAergic-Lamp5,#9e515e,CS201912131_8,RNAseq 008,type
M1-GABAergic-Lamp5-Inh L1 LAMP5 BMP2,Inh L1 LAMP5 BMP2,M1-GABAergic-Lamp5,#c05675,CS201912131_14,RNAseq 014,type
M1-GABAergic-Lamp5-Inh L1 LAMP5 NMBR,Inh L1 LAMP5 NMBR,M1-GABAergic-Lamp5,#e2a9b0,CS201912131_15,RNAseq 015,type
M1-GABAergic-Sncg-Inh L1 PAX6 CHRFAM7A,Inh L1 PAX6 CHRFAM7A,M1-GABAergic-Sncg,#891ea8,CS201912131_9,RNAseq 009,type
M1-GABAergic-Sncg-Inh L1-6 VIP SLC7A6OS,Inh L1-6 VIP SLC7A6OS,M1-GABAergic-Sncg,#a11397,CS201912131_10,RNAseq 010,type
M1-GABAergic-Sncg-Inh L2 PAX6 FREM2,Inh L2 PAX6 FREM2,M1-GABAergic-Sncg,#c86eff,CS201912131_11,RNAseq 011,type
M1-GABAergic-Sncg-Inh L1-2 VIP HTR3A,Inh L1-2 VIP HTR3A,M1-GABAergic-Sncg,#e354d5,CS201912131_12,RNAseq 012,type
M1-GABAergic-Sncg-Inh L1-2 VIP WNT4,Inh L1-2 VIP WNT4,M1-GABAergic-Sncg,#8647d2,CS201912131_13,RNAseq 013,type
M1-GABAergic-Sncg-Inh L1 PVALB SST ASIC4,Inh L1 PVALB SST ASIC4,M1-GABAergic-Sncg,#b579f6,CS201912131_16,RNAseq 016,type
M1-GABAergic-Sncg-Inh L1 SST P4HA3,Inh L1 SST P4HA3,M1-GABAergic-Sncg,#9045b9,CS201912131_17,RNAseq 017,type
M1-GABAergic-Sncg-Inh L1 SST DEFB108B,Inh L1 SST DEFB108B,M1-GABAergic-Sncg,#c100c7,CS201912131_18,RNAseq 018,type
M1-GABAergic-Vip-Inh L1-3 VIP CBLN1,Inh L1-3 VIP CBLN1,M1-GABAergic-Vip,#dca0ff,CS201912131_19,RNAseq 019,type
